image,disease,x,y,w,h
00000032_037.png,Atelectasis,100,0,124,106
00000032_037.png,Cardiomegaly,76,48,89,78
00000032_037.png,Effusion,116,51,74,62
00000032_037.png,Infiltrate,76,0,124,103
00000032_037.png,Mass,199,43,25,8
00000032_037.png,Nodule,79,0,145,98
00000032_037.png,Pneumonia,98,0,97,103
00000032_037.png,Pneumothorax,113,0,111,102
00000072_000.png,Atelectasis,54,60,143,92
00000072_000.png,Cardiomegaly,111,97,72,79
00000072_000.png,Effusion,64,49,122,94
00000072_000.png,Infiltrate,52,75,95,80
00000072_000.png,Mass,38,79,112,100
00000072_000.png,Nodule,44,72,115,91
00000072_000.png,Pneumonia,45,84,124,94
00000072_000.png,Pneumothorax,42,37,182,187
00000147_001.png,Atelectasis,118,95,106,83
00000147_001.png,Cardiomegaly,72,62,99,88
00000147_001.png,Effusion,88,54,136,128
00000147_001.png,Infiltrate,54,17,170,110
00000147_001.png,Mass,37,46,82,96
00000147_001.png,Nodule,57,34,117,98
00000147_001.png,Pneumonia,0,0,18,18
00000147_001.png,Pneumothorax,55,22,169,165
00000149_006.png,Atelectasis,44,31,180,116
00000149_006.png,Cardiomegaly,64,62,105,95
00000149_006.png,Effusion,36,27,188,88
00000149_006.png,Infiltrate,33,0,126,130
00000149_006.png,Mass,122,39,102,106
00000149_006.png,Nodule,53,17,171,116
00000149_006.png,Pneumonia,40,56,184,103
00000149_006.png,Pneumothorax,0,0,18,18
00000150_002.png,Atelectasis,104,78,96,100
00000150_002.png,Cardiomegaly,72,47,86,107
00000150_002.png,Effusion,39,30,150,164
00000150_002.png,Infiltrate,41,0,146,145
00000150_002.png,Mass,155,36,43,74
00000150_002.png,Nodule,55,52,110,96
00000150_002.png,Pneumonia,50,42,138,137
00000150_002.png,Pneumothorax,0,0,17,17
00000181_061.png,Atelectasis,46,24,126,116
00000181_061.png,Cardiomegaly,0,0,16,16
00000181_061.png,Effusion,43,58,181,166
00000181_061.png,Infiltrate,81,22,143,130
00000181_061.png,Mass,34,0,190,201
00000181_061.png,Nodule,71,55,153,100
00000181_061.png,Pneumonia,112,57,112,95
00000181_061.png,Pneumothorax,0,0,18,18
00000193_019.png,Atelectasis,0,0,17,17
