image,disease,x,y,w,h
00000032_037.png,Atelectasis,133,59,60,62
00000032_037.png,Cardiomegaly,78,96,67,27
00000032_037.png,Effusion,134,78,90,44
00000032_037.png,Infiltrate,0,0,0,0
00000032_037.png,Mass,0,0,0,0
00000032_037.png,Nodule,0,0,0,0
00000032_037.png,Pneumonia,0,0,0,0
00000032_037.png,Pneumothorax,0,0,0,0
00000072_000.png,Atelectasis,0,0,0,0
00000072_000.png,Cardiomegaly,134,166,24,20
00000072_000.png,Effusion,0,0,0,0
00000072_000.png,Infiltrate,0,0,0,0
00000072_000.png,Mass,0,0,0,0
00000072_000.png,Nodule,0,0,0,0
00000072_000.png,Pneumonia,0,0,0,0
00000072_000.png,Pneumothorax,0,0,0,0
00000147_001.png,Atelectasis,160,121,64,56
00000147_001.png,Cardiomegaly,0,0,0,0
00000147_001.png,Effusion,189,160,35,25
00000147_001.png,Infiltrate,166,38,20,20
00000147_001.png,Mass,0,0,0,0
00000147_001.png,Nodule,0,0,0,0
00000147_001.png,Pneumonia,0,0,0,0
00000147_001.png,Pneumothorax,166,166,20,25
00000149_006.png,Atelectasis,0,0,0,0
00000149_006.png,Cardiomegaly,0,0,0,0
00000149_006.png,Effusion,0,38,26,20
00000149_006.png,Infiltrate,0,0,0,0
00000149_006.png,Mass,0,0,0,0
00000149_006.png,Nodule,0,0,0,0
00000149_006.png,Pneumonia,0,0,0,0
00000149_006.png,Pneumothorax,198,134,26,20
00000150_002.png,Atelectasis,139,126,85,55
00000150_002.png,Cardiomegaly,0,0,0,0
00000150_002.png,Effusion,119,196,49,28
00000150_002.png,Infiltrate,0,0,0,0
00000150_002.png,Mass,0,0,0,0
00000150_002.png,Nodule,0,0,0,0
00000150_002.png,Pneumonia,0,0,0,0
00000150_002.png,Pneumothorax,0,0,0,0
00000181_061.png,Atelectasis,73,99,49,55
00000181_061.png,Cardiomegaly,0,0,0,0
00000181_061.png,Effusion,53,133,143,91
00000181_061.png,Infiltrate,134,109,45,45
